,breakfast,cancelation,guest_reviews,location,price_AZN,review_number,title,type_room,distance_km,latitude,longitude
948,No,No,Good,Other,68.0,297,Rogalux Blue,Standard Single Room,6.7,,
949,No,Yes,Wonderful,Old Tbilisi,113.0,241,Orden Hotel,Standard King Room,1.2,41.69209658252052,44.79406059228808
950,No,Yes,,Saburtalo,45.0,,apartament Stay a while,Studio Apartment,5.6,41.72222376354178,44.746048306010806
951,No,No,Very Good,Mtatsminda,113.0,342,Rustaveli Hotel,Standard Double Room,,41.693060457156996,44.78551384334914
952,No,Yes,Excellent,Old Tbilisi,69.0,163,Bonus Hotel,Twin Room with City View,1.1,41.69209658252052,44.79406059228808
953,No,Yes,Excellent,Old Tbilisi,113.0,241,Boutique Hotel Villa Mtiebi,Standard Double Room,0.4,41.69209658252052,44.79406059228808
954,No,No,Exceptional,Saburtalo,59.0,3,Glass Dome Guesthouse - Tbilisi City Center,Double Room with Balcony,3.6,41.72222376354178,44.746048306010806
955,Yes,No,Very Good,Mtatsminda,127.0,152,Orbeliani Residence Hotel,Standard Double or Twin Room,0.6,41.693060457156996,44.78551384334914
956,Yes,No,Very Good,Chugureti,185.0,579,Urban Park Hotels,Economy Double Room,1.7,41.72340168819495,44.82088685166248
957,No,Yes,Exceptional,Old Tbilisi,56.0,5,Guest house Beautiful Avlabar,Large Double or Twin Room,0.9,41.69209658252052,44.79406059228808
958,No,No,Very Good,Vera,116.0,34,Pino Vere Palace Hotel,Standard Double Room,2.3,41.70761261768468,44.787408551790755
959,No,Yes,Wonderful,Old Tbilisi,41.0,61,Gomi13,Budget Double Room,0.7,41.69209658252052,44.79406059228808
960,Yes,No,Very Good,Vera,159.0,821,Urban Boutique Hotel,Economy Double or Twin Room,1.7,41.70761261768468,44.787408551790755
961,No,Yes,Very Good,Chugureti,35.0,4,Near Fabrika,Double Room,,41.72340168819495,44.82088685166248
962,No,Yes,Wonderful,Old Tbilisi,47.0,27,Metta Tbilisi Apartment,One-Bedroom Apartment,0.4,41.69209658252052,44.79406059228808
963,Yes,No,Wonderful,Old Tbilisi,177.0,341,Tiflis Palace,Standard Double Room,,41.69209658252052,44.79406059228808
964,Yes,Yes,Excellent,Vera,132.0,403,Vera Hills Boutique Hotel,Economy Double or Twin Room,1.7,41.70761261768468,44.787408551790755
965,No,Yes,Wonderful,Other,75.0,89,Boutique Hotel Dany,Standard Double or Twin Room,2.8,,
966,No,Yes,Wonderful,Old Tbilisi,78.0,137,Betlemi Old Town Hotel,Comfort Double Room,0.7,41.69209658252052,44.79406059228808
967,No,No,Good,Other,80.0,644,Gtm Plaza,Standard Single Room,3.3,,
968,Yes,Yes,Wonderful,Didube,94.0,83,Hotel Okriba Tbilisi,Standard Double or Twin Room,6.8,41.750520159335146,44.7815007925187
969,Yes,No,Excellent,Old Tbilisi,91.0,29,RASTA MAIDAN HOTEL,Budget Double or Twin Room,0.9,41.69209658252052,44.79406059228808
970,No,Yes,Wonderful,Old Tbilisi,38.0,176,Apartment Panorama,One-Bedroom Apartment,1.4,41.69209658252052,44.79406059228808
971,No,Yes,Exceptional,Old Tbilisi,75.0,70,Apartamenti Gomi 17,Apartment - Ground Floor,0.7,41.69209658252052,44.79406059228808
972,No,Yes,Very Good,Vera,69.0,80,Hotel Reverence,Twin Room,2.3,41.70761261768468,44.787408551790755
973,No,Yes,Excellent,Vake,75.0,15,Piccolo Casa Bella Hotel,Small Double Room,3.3,41.70553522376798,44.75495342831405
974,No,No,Wonderful,Mtatsminda,201.0,1201,Shota @ Rustaveli Boutique Hotel,Standard Double Room,0.5,41.693060457156996,44.78551384334914
975,No,Yes,Very Good,Saburtalo,63.0,22,Hotel Bu,Double Room with Balcony,4.7,41.72222376354178,44.746048306010806
976,Yes,Yes,Excellent,Old Tbilisi,122.0,269,Sharden Villa Boutique Hotel,Standard Single Room,0.6,41.69209658252052,44.79406059228808
977,No,Yes,Very Good,Old Tbilisi,73.0,20,Hotel Diplomat,Small Single Room,1.1,41.69209658252052,44.79406059228808
978,No,Yes,Wonderful,Vera,82.0,2,Vera City Center Apartment,One-Bedroom Apartment,,41.70761261768468,44.787408551790755
979,No,Yes,Exceptional,Old Tbilisi,61.0,79,Hotel Marioni,Twin Room,0.8,41.69209658252052,44.79406059228808
980,No,Yes,Exceptional,Other,31.0,52,Big House,Single Room,4.8,,
981,Yes,No,Very Good,Old Tbilisi,129.0,603,KMM Hotel,Budget Double Room,,41.69209658252052,44.79406059228808
982,No,Yes,,Didube,56.0,,Tbilisi didube appartement daily,One-Bedroom Apartment,5.8,41.750520159335146,44.7815007925187
983,No,No,Excellent,Old Tbilisi,113.0,322,Central Gate Boutique Hotel Tbilisi,Small Double Room,0.3,41.69209658252052,44.79406059228808
984,Yes,No,Excellent,Old Tbilisi,138.0,451,Hotel City,Double Room,0.15,41.69209658252052,44.79406059228808
985,No,Yes,Good,Chugureti,49.0,64,Yard-11 Hotel,Economy Twin Room,1.4,41.72340168819495,44.82088685166248
986,No,No,Very Good,Old Tbilisi,28.0,20,Guesthouse Zeinabi,Single Room,0.6,41.69209658252052,44.79406059228808
987,Yes,Yes,Very Good,Chugureti,113.0,516,Old City Boutique Hotel,Deluxe Double Room,1.2,41.72340168819495,44.82088685166248
988,No,No,Wonderful,Vera,153.0,273,Barnovi Boutique Hotel,Deluxe Twin Room,1.6,41.70761261768468,44.787408551790755
989,Yes,Yes,Wonderful,Old Tbilisi,197.0,841,Hotel Flower,Double or Twin Room with City View,0.45,41.69209658252052,44.79406059228808
990,No,Yes,Exceptional,Saburtalo,107.0,120,ApartHotel Otin,Superior Apartment,5.1,41.72222376354178,44.746048306010806
991,No,No,Excellent,Mtatsminda,70.0,28,Opera Apartment Very Heart Of Tbilisi,Apartment,0.9,41.693060457156996,44.78551384334914
992,No,Yes,Exceptional,Old Tbilisi,100.0,259,Botanical 21,One-Bedroom Apartment,,41.69209658252052,44.79406059228808
993,Yes,No,Wonderful,Chugureti,90.0,40,Tea for Two Hotel,Standard Double Room,1.5,41.72340168819495,44.82088685166248
994,No,Yes,Wonderful,Old Tbilisi,44.0,66,Guest House Rampa,Single Room with Private Bathroom,,41.69209658252052,44.79406059228808
995,No,No,Wonderful,Chugureti,120.0,30,TownHouse Tbilisi Boutique Hotel,Double or Twin Room with City View,2.1,41.72340168819495,44.82088685166248
996,No,Yes,Wonderful,Saburtalo,75.0,43,Ann's Apartment,One-Bedroom Apartment,,41.72222376354178,44.746048306010806
997,No,Yes,Very Good,Chugureti,69.0,101,Hotel Darchi,Triple Room,2.1,41.72340168819495,44.82088685166248
998,No,Yes,Wonderful,Old Tbilisi,50.0,103,GTNL Aparthotel,One-Bedroom Apartment,0.35,41.69209658252052,44.79406059228808
999,Yes,Yes,Wonderful,Old Tbilisi,79.0,226,Georgia Tbilisi GT Hotel,Single Room,0.45,41.69209658252052,44.79406059228808
